[66.388, 307.018]
[66.649, 306.761]
[66.910, 306.763]
[67.170, 306.765]
[67.430, 306.767]
[67.691, 306.770]
[67.952, 306.512]
[68.213, 306.254]
[68.474, 306.257]
[68.735, 305.999]
[68.996, 305.741]
[69.257, 305.484]
[69.520, 304.966]
[69.781, 304.709]
[70.043, 304.191]
[70.305, 303.934]
[70.566, 303.676]
[70.826, 303.678]
[71.086, 303.680]
[71.346, 303.942]
[71.606, 303.945]
[71.866, 303.947]
[72.127, 303.949]
[72.387, 303.951]
[72.647, 303.953]
[72.908, 303.955]
[73.168, 303.958]
[73.428, 303.960]
[73.689, 303.962]
[73.949, 303.964]
[74.209, 303.966]
[74.468, 304.228]
[74.728, 304.490]
[74.987, 304.752]
[75.246, 305.014]
[75.506, 305.276]
[75.766, 305.278]
[76.025, 305.540]
[76.285, 305.802]
[76.545, 305.804]
[76.805, 305.806]
[77.065, 306.068]
[77.325, 306.070]
[77.585, 306.073]
[77.845, 306.335]
[78.104, 306.597]
[78.363, 306.859]
[78.624, 306.861]
[78.883, 307.123]
[79.142, 307.385]
[79.403, 307.387]
[79.663, 307.389]
[79.922, 307.651]
[80.182, 307.653]
[80.442, 307.915]
[80.701, 308.177]
[80.961, 308.179]
[81.222, 308.181]
[81.482, 308.183]
[81.742, 308.186]
[82.002, 308.448]
[82.262, 308.450]
[82.522, 308.452]
[82.783, 308.454]
[83.044, 308.196]
[83.304, 308.199]
[83.565, 308.201]
[83.825, 308.203]
[84.085, 308.205]
[84.346, 307.948]
[84.608, 307.690]
[84.868, 307.692]
[85.129, 307.435]
[85.391, 307.177]
[85.651, 307.179]
[85.911, 307.181]
[86.171, 307.183]
[86.432, 307.186]
[86.692, 307.188]
[86.953, 306.930]
[87.213, 307.192]
[87.473, 307.194]
[87.732, 307.456]
[87.993, 307.458]
[88.253, 307.461]
[88.513, 307.463]
[88.774, 307.465]
[89.033, 307.727]
[89.292, 307.989]
[89.551, 308.511]
[89.809, 309.032]
[90.067, 309.554]
[90.327, 309.816]
[90.585, 310.338]
[90.845, 310.340]
[91.105, 310.602]
[91.364, 310.864]
[91.624, 310.866]
[91.885, 310.868]
[92.144, 311.130]
[92.404, 311.132]
[92.664, 311.134]
[92.925, 311.137]
[93.185, 311.139]
[93.444, 311.401]
[93.704, 311.663]
[93.963, 311.925]
[94.222, 312.186]
[94.481, 312.708]
[94.741, 312.710]
[95.000, 312.972]
[95.260, 313.234]
[95.520, 313.236]
[95.779, 313.498]
[96.039, 313.760]
[96.297, 314.282]
[96.555, 314.804]
[96.815, 315.066]
[97.073, 315.587]
[97.332, 315.849]
[97.593, 315.852]
[97.852, 316.114]
[98.111, 316.375]
[98.371, 316.637]
[98.631, 316.640]
[98.890, 316.902]
[99.150, 317.164]
[99.410, 317.166]
[99.670, 317.168]
[99.930, 317.430]
[100.190, 317.432]
[100.450, 317.434]
[100.711, 317.436]
[100.971, 317.438]
[101.230, 317.700]
[101.490, 317.703]
[101.751, 317.705]
[102.011, 317.707]
[102.270, 317.969]
[102.530, 318.231]
[102.789, 318.493]
[103.048, 318.755]
[103.308, 319.017]
[103.568, 319.019]
[103.827, 319.281]
[104.087, 319.543]
[104.347, 319.545]
[104.606, 319.807]
[104.867, 319.809]
[105.127, 319.811]
[105.387, 319.813]
[105.648, 319.816]
[105.907, 320.078]
[106.167, 320.080]
[106.427, 320.082]
[106.688, 320.084]
[106.948, 320.086]
[107.209, 319.829]
[107.470, 319.831]
[107.730, 319.833]
[107.990, 319.835]
[108.251, 319.837]
[108.512, 319.580]
[108.773, 319.322]
[109.033, 319.324]
[109.295, 319.067]
[109.556, 318.809]
[109.816, 318.811]
[110.078, 318.554]
[110.339, 318.296]
[110.600, 318.038]
[110.861, 318.040]
[111.121, 318.043]
[111.381, 318.045]
[111.642, 317.787]
[111.903, 317.789]
[112.163, 317.792]
[112.423, 317.794]
[112.685, 317.536]
[112.945, 317.538]
[113.205, 317.540]
[113.466, 317.543]
[113.726, 317.545]
[113.987, 317.287]
[114.247, 317.289]
[114.508, 317.292]
[114.768, 317.294]
[115.029, 317.036]
[115.290, 317.038]
[115.551, 316.781]
[115.811, 316.783]
[116.072, 316.785]
[116.332, 316.787]
[116.592, 316.789]
[116.853, 316.532]
[117.114, 316.534]
[117.375, 316.276]
[117.636, 316.019]
[117.897, 316.021]
[118.159, 315.503]
[118.420, 315.246]
[118.682, 314.728]
[118.948, 313.432]
[119.209, 313.174]
[119.470, 312.917]
[119.731, 312.919]
[119.992, 312.661]
[120.253, 312.404]
[120.513, 312.406]
[120.775, 312.148]
[121.036, 311.890]
[121.297, 311.633]
[121.559, 311.375]
[121.820, 311.118]
[122.081, 310.860]
[122.343, 310.343]
[122.605, 310.085]
[122.866, 309.827]
[123.127, 309.570]
[123.388, 309.312]
[123.650, 309.055]
[123.910, 309.057]
[124.170, 309.059]
[124.432, 308.801]
[124.693, 308.544]
[124.953, 308.546]
[125.215, 308.288]
[125.476, 308.031]
[125.736, 308.033]
[125.996, 308.035]
[126.257, 308.037]
[126.518, 307.780]
[126.778, 307.782]
[127.040, 307.524]
[127.300, 307.526]
[127.559, 307.788]
[127.820, 307.790]
[128.079, 308.052]
[128.339, 308.055]
[128.599, 308.316]
[128.859, 308.319]
[129.119, 308.321]
[129.379, 308.323]
[129.640, 308.325]
[129.899, 308.587]
[130.159, 308.589]
[130.420, 308.591]
[130.680, 308.594]
[130.941, 308.336]
[131.202, 308.338]
[131.462, 308.340]
[131.722, 308.343]
[131.983, 308.345]
[132.244, 308.087]
[132.505, 307.829]
[132.765, 307.832]
[133.027, 307.574]
[133.288, 307.316]
[133.549, 307.059]
[133.811, 306.541]
[134.073, 306.284]
[134.334, 306.026]
[134.595, 305.769]
[134.858, 305.251]
[135.119, 304.994]
[135.380, 304.736]
[135.641, 304.478]
[135.903, 304.221]
[136.163, 304.223]
[136.424, 303.965]
[136.686, 303.708]
[136.946, 303.710]
[137.207, 303.452]
[137.468, 303.454]
[137.728, 303.457]
[137.988, 303.459]
[138.247, 303.721]
[138.508, 303.723]
[138.767, 303.985]
[139.027, 303.987]
[139.288, 303.989]
[139.548, 303.991]
[139.808, 303.994]
[140.068, 304.255]
[140.328, 304.258]
[140.588, 304.260]
[140.850, 304.002]
[141.110, 304.004]
[141.370, 304.007]
[141.630, 304.009]
[141.890, 304.271]
[142.149, 304.533]
[142.409, 304.535]
[142.669, 304.797]
[142.928, 305.059]
[143.188, 305.061]
[143.448, 305.323]
[143.707, 305.585]
[143.966, 305.847]
[144.226, 306.109]
[144.485, 306.371]
[144.744, 306.633]
[145.004, 306.895]
[145.263, 307.156]
[145.522, 307.418]
[145.783, 307.421]
[146.042, 307.683]
[146.301, 307.944]
[146.562, 307.947]
[146.822, 307.949]
[147.082, 307.951]
[147.343, 307.953]
[147.602, 308.215]
[147.862, 308.217]
[148.123, 307.960]
[148.384, 307.962]
[148.644, 307.964]
[148.904, 307.966]
[149.165, 307.968]
[149.426, 307.711]
[149.687, 307.453]
[149.948, 307.455]
[150.209, 307.198]
[150.470, 306.940]
[150.730, 306.942]
[150.991, 306.944]
[151.251, 306.947]
[151.510, 307.209]
[151.771, 307.211]
[152.031, 307.213]
[152.291, 307.215]
[152.552, 307.217]
[152.812, 307.219]
[153.072, 307.222]
[153.334, 306.964]
[153.594, 306.966]
[153.854, 306.968]
[154.114, 306.970]
[154.375, 306.973]
[154.635, 306.975]
[154.895, 306.977]
[155.156, 306.979]
[155.415, 307.241]
[155.674, 307.503]
[155.933, 308.025]
[156.192, 308.287]
[156.450, 308.808]
[156.710, 309.070]
[156.969, 309.332]
[157.228, 309.594]
[157.484, 310.895]
[157.742, 311.417]
[158.001, 311.679]
[158.260, 312.201]
[158.519, 312.463]
[158.778, 312.725]
[159.037, 313.246]
[159.296, 313.508]
[159.554, 314.030]
