[66.519, 272.208]
[66.780, 272.210]
[67.041, 271.953]
[67.300, 272.215]
[67.560, 272.217]
[67.821, 272.219]
[68.081, 272.221]
[68.341, 272.223]
[68.601, 272.485]
[68.860, 272.747]
[69.120, 272.749]
[69.379, 273.271]
[69.638, 273.533]
[69.896, 274.055]
[70.147, 276.655]
[70.406, 276.917]
[70.666, 277.179]
[70.925, 277.441]
[71.184, 277.703]
[71.444, 277.964]
[71.703, 278.226]
[71.962, 278.488]
[72.222, 278.750]
[72.481, 279.012]
[72.741, 279.014]
[73.002, 278.757]
[73.263, 278.759]
[73.523, 278.761]
[73.783, 278.763]
[74.044, 278.766]
[74.305, 278.508]
[74.565, 278.510]
[74.826, 278.512]
[75.086, 278.514]
[75.347, 278.257]
[75.608, 277.999]
[75.871, 277.482]
[76.132, 277.224]
[76.394, 276.707]
[76.656, 276.449]
[76.917, 276.192]
[77.177, 276.194]
[77.438, 275.936]
[77.700, 275.679]
[77.960, 275.681]
[78.220, 275.683]
[78.481, 275.685]
[78.742, 275.427]
[79.003, 275.170]
[79.265, 274.652]
[79.527, 274.395]
[79.789, 273.877]
[80.050, 273.620]
[80.311, 273.622]
[80.572, 273.364]
[80.833, 273.107]
[81.093, 273.109]
[81.354, 273.111]
[81.614, 273.113]
[81.874, 273.115]
[82.136, 272.858]
[82.396, 272.860]
[82.656, 272.862]
[82.917, 272.864]
[83.177, 272.867]
[83.437, 272.869]
[83.696, 273.131]
[83.957, 273.133]
[84.217, 273.135]
[84.477, 273.137]
[84.738, 273.139]
[84.997, 273.401]
[85.256, 273.663]
[85.517, 273.665]
[85.775, 274.187]
[86.034, 274.449]
[86.293, 274.971]
[86.552, 275.233]
[86.811, 275.495]
[87.071, 275.757]
[87.331, 275.759]
[87.590, 276.021]
[87.851, 276.023]
[88.110, 276.285]
[88.370, 276.287]
[88.630, 276.549]
[88.890, 276.551]
[89.151, 276.294]
[89.412, 276.036]
[89.675, 275.519]
[89.937, 275.001]
[90.198, 274.744]
[90.461, 274.226]
[90.723, 273.709]
[90.985, 273.191]
[91.246, 272.934]
[91.509, 272.416]
[91.770, 272.159]
[92.031, 271.901]
[92.292, 271.644]
[92.554, 271.386]
[92.814, 271.388]
[93.075, 271.131]
[93.337, 270.873]
[93.597, 270.875]
[93.857, 270.877]
[94.119, 270.620]
[94.380, 270.362]
[94.642, 269.845]
[94.904, 269.327]
[95.166, 269.070]
[95.428, 268.552]
[95.689, 268.295]
[95.950, 268.037]
[96.212, 267.779]
[96.473, 267.522]
[96.734, 267.264]
[96.996, 267.007]
[97.257, 266.749]
[97.519, 266.232]
[97.779, 266.234]
[98.041, 265.976]
[98.302, 265.719]
[98.562, 265.721]
[98.823, 265.723]
[99.083, 265.725]
[99.343, 265.727]
[99.605, 265.470]
[99.865, 265.472]
[100.125, 265.474]
[100.385, 265.476]
[100.646, 265.478]
[100.905, 265.740]
[101.166, 265.483]
[101.428, 265.225]
[101.688, 265.227]
[101.949, 264.970]
[102.211, 264.712]
[102.471, 264.714]
[102.731, 264.716]
[102.991, 264.719]
[103.253, 264.461]
[103.514, 264.203]
[103.775, 263.946]
[104.037, 263.688]
[104.299, 263.171]
[104.559, 263.173]
[104.820, 262.915]
[105.082, 262.658]
[105.342, 262.660]
[105.602, 262.662]
[105.864, 262.404]
[106.125, 262.147]
[106.385, 262.149]
[106.646, 261.891]
[106.908, 261.634]
[107.168, 261.636]
[107.428, 261.638]
[107.689, 261.640]
[107.949, 261.642]
[108.210, 261.385]
[108.471, 261.387]
[108.731, 261.389]
[108.991, 261.391]
[109.251, 261.653]
[109.511, 261.655]
[109.771, 261.658]
[110.031, 261.660]
[110.292, 261.662]
[110.551, 261.924]
[110.811, 261.926]
[111.071, 262.188]
[111.330, 262.450]
[111.590, 262.452]
[111.850, 262.714]
[112.108, 263.236]
[112.367, 263.498]
[112.627, 263.760]
[112.886, 264.022]
[113.145, 264.284]
[113.406, 264.286]
[113.666, 264.288]
[113.926, 264.290]
[114.187, 264.292]
[114.446, 264.554]
[114.706, 264.556]
[114.967, 264.559]
[115.226, 264.821]
[115.485, 265.083]
[115.745, 265.085]
[116.005, 265.347]
[116.265, 265.349]
[116.524, 265.611]
[116.785, 265.613]
[117.045, 265.615]
[117.305, 265.617]
[117.566, 265.619]
[117.825, 265.881]
[118.085, 265.884]
[118.346, 265.886]
[118.606, 265.888]
[118.866, 265.890]
[119.126, 266.152]
[119.385, 266.414]
[119.645, 266.416]
[119.904, 266.938]
[120.163, 267.200]
[120.422, 267.462]
[120.682, 267.724]
[120.941, 267.986]
[121.200, 268.248]
[121.460, 268.510]
[121.719, 268.771]
[121.978, 269.033]
[122.238, 269.036]
[122.498, 269.298]
[122.757, 269.560]
[123.017, 269.562]
[123.276, 270.083]
[123.535, 270.345]
[123.794, 270.607]
[124.054, 270.869]
[124.313, 271.131]
[124.571, 271.653]
[124.831, 271.915]
[125.090, 272.177]
[125.349, 272.439]
[125.609, 272.701]
[125.869, 272.703]
[126.128, 272.965]
[126.388, 273.227]
[126.648, 273.229]
[126.907, 273.491]
[127.168, 273.493]
[127.428, 273.495]
[127.688, 273.497]
[127.948, 273.759]
[128.208, 273.762]
[128.468, 273.764]
[128.729, 273.766]
[128.989, 273.768]
[129.249, 273.770]
[129.509, 273.772]
[129.770, 273.775]
[130.031, 273.517]
[130.291, 273.519]
[130.553, 273.262]
[130.813, 273.264]
[131.073, 273.266]
[131.334, 273.268]
[131.594, 273.270]
[131.855, 273.013]
[132.115, 273.015]
[132.376, 273.017]
[132.636, 273.019]
[132.895, 273.281]
[133.156, 273.283]
[133.416, 273.285]
[133.676, 273.288]
[133.937, 273.290]
[134.196, 273.552]
[134.455, 273.814]
[134.716, 273.816]
[134.975, 274.078]
[135.234, 274.340]
[135.494, 274.602]
[135.753, 274.864]
[136.012, 275.126]
[136.272, 275.388]
[136.531, 275.649]
[136.791, 275.652]
[137.051, 275.914]
[137.310, 276.176]
[137.569, 276.437]
[137.829, 276.699]
[138.088, 276.961]
[138.347, 277.223]
[138.607, 277.485]
[138.866, 277.747]
[139.125, 278.009]
[139.385, 278.271]
[139.645, 278.273]
[139.905, 278.275]
[140.165, 278.278]
[140.427, 278.020]
[140.687, 278.022]
[140.947, 278.024]
[141.208, 278.027]
[141.469, 277.769]
[141.729, 277.771]
[141.990, 277.773]
[142.250, 277.775]
[142.510, 277.778]
[142.771, 277.520]
[143.033, 277.262]
[143.295, 276.745]
[143.556, 276.487]
[143.819, 275.970]
[144.080, 275.712]
[144.340, 275.715]
[144.601, 275.457]
[144.863, 275.199]
[145.123, 275.202]
[145.383, 275.204]
[145.645, 274.946]
[145.906, 274.688]
[146.167, 274.431]
[146.428, 274.173]
[146.690, 273.916]
[146.950, 273.918]
[147.211, 273.660]
[147.473, 273.403]
[147.733, 273.405]
[147.994, 273.147]
[148.254, 273.149]
[148.516, 272.892]
[148.776, 272.894]
[149.036, 272.896]
[149.297, 272.898]
[149.557, 272.900]
[149.818, 272.643]
[150.079, 272.645]
[150.338, 272.907]
[150.598, 272.909]
[150.859, 272.911]
[151.119, 272.913]
[151.379, 272.916]
[151.638, 273.178]
[151.898, 273.439]
[152.158, 273.442]
[152.417, 273.704]
[152.677, 273.966]
[152.937, 273.968]
[153.197, 273.970]
[153.458, 273.972]
[153.719, 273.714]
[153.979, 273.717]
[154.241, 273.459]
[154.501, 273.461]
[154.761, 273.463]
[155.021, 273.466]
[155.283, 273.208]
[155.543, 273.210]
[155.804, 272.952]
[156.066, 272.695]
[156.326, 272.697]
[156.586, 272.699]
[156.848, 272.442]
[157.109, 272.184]
[157.370, 271.926]
[157.630, 271.929]
[157.892, 271.671]
[158.153, 271.413]
[158.413, 271.415]
[158.675, 271.158]
[158.936, 270.900]
[159.214, 266.226]
[159.476, 265.709]
[159.736, 265.711]
[159.998, 265.454]
[160.259, 265.196]
[160.519, 265.198]
[160.779, 265.200]
[161.040, 265.203]
[161.300, 265.205]
[161.561, 264.947]
[161.821, 265.209]
[162.081, 265.211]
[162.341, 265.213]
[162.602, 265.216]
[162.862, 265.218]
[163.121, 265.480]
[163.382, 265.482]
[163.642, 265.484]
[163.901, 265.746]
[164.162, 265.748]
[164.421, 266.010]
[164.681, 266.012]
[164.942, 265.755]
[165.203, 265.757]
[165.463, 265.759]
[165.724, 265.501]
[165.985, 265.504]
[166.245, 265.506]
[166.505, 265.508]
[166.766, 265.510]
[167.027, 265.252]
[167.288, 264.995]
[167.549, 264.737]
[167.811, 264.480]
[168.072, 264.222]
[168.333, 263.964]
[168.595, 263.707]
[168.856, 263.449]
[169.117, 263.192]
[169.379, 262.674]
[169.641, 262.417]
[169.903, 261.899]
[170.164, 261.642]
[170.425, 261.644]
[170.686, 261.386]
[170.947, 261.129]
[171.207, 261.131]
[171.468, 261.133]
[171.728, 261.135]
[171.988, 261.137]
[172.250, 260.880]
[172.510, 260.882]
[172.769, 261.144]
[173.030, 261.146]
[173.290, 261.148]
[173.550, 261.150]
[173.810, 261.152]
[174.070, 261.414]
[174.331, 261.157]
[174.591, 261.159]
[174.853, 260.901]
[175.113, 260.903]
[175.373, 260.906]
[175.634, 260.908]
[175.895, 260.650]
[176.155, 260.652]
[176.415, 260.655]
[176.676, 260.657]
[176.936, 260.659]
[177.197, 260.401]
[177.457, 260.663]
[177.717, 260.665]
[177.977, 260.668]
[178.238, 260.670]
[178.498, 260.672]
[178.757, 260.934]
[179.017, 261.196]
[179.277, 261.198]
[179.535, 261.720]
[179.795, 261.982]
[180.053, 262.503]
[180.309, 263.545]
[180.569, 263.807]
[180.828, 264.069]
[181.088, 264.071]
[181.348, 264.333]
[181.608, 264.335]
[181.868, 264.337]
[182.129, 264.339]
[182.389, 264.341]
[182.649, 264.344]
[182.910, 264.086]
[183.172, 263.828]
[183.433, 263.571]
[183.694, 263.313]
[183.955, 263.315]
[184.216, 263.058]
[184.477, 262.800]
[184.737, 262.802]
[184.998, 262.804]
[185.258, 262.807]
[185.518, 262.809]
[185.780, 262.551]
[186.039, 262.813]
[186.299, 262.815]
[186.560, 262.817]
[186.820, 262.820]
[187.080, 262.822]
[187.340, 263.084]
[187.599, 263.346]
[187.859, 263.348]
[188.119, 263.610]
[188.377, 264.131]
[188.636, 264.393]
[188.896, 264.655]
[189.155, 264.917]
[189.413, 265.439]
[189.673, 265.701]
[189.931, 266.223]
[190.171, 271.680]
[190.430, 271.942]
[190.689, 272.204]
[190.950, 272.206]
[191.209, 272.468]
[191.468, 272.730]
[191.728, 272.992]
[191.987, 273.254]
[192.246, 273.516]
[192.507, 273.518]
[192.767, 273.520]
[193.027, 273.523]
[193.288, 273.525]
[193.547, 273.787]
[193.807, 273.789]
[194.067, 273.791]
[194.327, 274.053]
[194.588, 273.795]
[194.848, 273.798]
[195.109, 273.800]
[195.370, 273.542]
[195.630, 273.544]
[195.892, 273.287]
[196.153, 273.029]
[196.413, 273.031]
[196.673, 273.033]
[196.934, 273.036]
[197.194, 273.038]
[197.455, 272.780]
[197.716, 272.782]
[197.975, 273.044]
[198.235, 273.046]
[198.496, 273.049]
[198.756, 273.051]
[199.016, 273.053]
[199.276, 273.315]
[199.535, 273.577]
[199.795, 273.579]
[200.055, 273.841]
[200.314, 274.103]
[200.574, 274.105]
[200.833, 274.367]
[201.093, 274.629]
[201.352, 274.891]
[201.611, 275.153]
[201.872, 275.155]
[202.130, 275.677]
[202.389, 275.939]
[202.648, 276.460]
[202.907, 276.722]
[203.166, 276.984]
[203.427, 276.987]
[203.687, 276.989]
[203.947, 276.991]
[204.208, 276.993]
[204.468, 276.995]
[204.728, 276.997]
[204.989, 277.000]
[205.249, 277.002]
[205.510, 276.744]
[205.770, 276.746]
[206.032, 276.489]
[206.292, 276.491]
[206.553, 276.233]
[206.814, 276.235]
[207.075, 275.978]
[207.336, 275.720]
[207.598, 275.463]
[207.858, 275.465]
[208.119, 275.207]
[208.380, 274.950]
[208.642, 274.692]
[208.903, 274.434]
[209.163, 274.436]
[209.425, 274.179]
[209.686, 273.921]
[209.946, 273.923]
[210.207, 273.666]
[210.469, 273.408]
[210.730, 273.151]
[210.991, 272.893]
[211.252, 272.895]
[211.513, 272.638]
[211.774, 272.380]
[212.034, 272.382]
[212.296, 272.125]
[212.556, 272.127]
[212.816, 272.129]
[213.077, 272.131]
[213.337, 272.133]
[213.598, 271.876]
[213.859, 271.878]
[214.119, 271.880]
[214.379, 271.882]
[214.639, 272.144]
[214.899, 272.146]
[215.159, 272.148]
[215.419, 272.151]
[215.680, 272.153]
[215.939, 272.415]
[216.199, 272.417]
[216.460, 272.419]
[216.719, 272.681]
[216.978, 272.943]
[217.239, 272.945]
[217.498, 273.207]
[217.757, 273.469]
[218.017, 273.731]
[218.277, 273.733]
[218.537, 273.735]
[218.798, 273.737]
[219.058, 273.740]
[219.317, 274.002]
[219.578, 273.744]
[219.840, 273.486]
[220.102, 272.969]
[220.364, 272.452]
[220.626, 272.194]
[220.888, 271.677]
[221.149, 271.419]
[221.410, 271.161]
[221.671, 271.164]
[221.932, 270.906]
[222.193, 270.648]
[222.455, 270.391]
[222.716, 270.133]
[222.976, 270.135]
[223.237, 269.878]
[223.499, 269.620]
[223.759, 269.622]
[224.020, 269.365]
[224.282, 269.107]
[224.542, 269.109]
[224.803, 268.852]
[225.064, 268.594]
[225.330, 267.297]
[225.592, 266.780]
[225.853, 266.522]
[226.115, 266.005]
[226.376, 266.007]
[226.637, 265.749]
[226.898, 265.492]
[227.159, 265.494]
[227.419, 265.496]
[227.680, 265.239]
[227.942, 264.981]
[228.202, 264.983]
[228.463, 264.725]
[228.724, 264.468]
[228.985, 264.470]
